co,d,h,idx,no2,o3,p,pm10,pm25,so2,t,timestamp,w
9,10,56,2572,50,8,1025,57,134,4,19,1483178400,3
8,10,52,2568,44,6,1025,70,155,11,20,1483182000,4
9,10,52,2570,60,5,1025,60,141,7,20,1483182000,4
10,10,52,2571,54,15,1025,56,122,5,20,1483182000,4
10,6,40,921,8,37,1025,51,117,6,20,1483178400,4
11,6,40,928,44,19,1025,57,122,5,20,1483178400,4
10,6,40,926,15,32,1025,57,127,8,20,1483178400,4
9,6,40,920,33,13,1025,66,124,7,20,1483178400,4
8,6,40,925,26,21,1025,58,117,5,20,1483178400,4
8,6,40,927,27,29,1025,59,114,6,20,1483178400,4
8,6,40,922,10,34,1025,50,112,5,20,1483178400,4
5,10,52,2569,29,18,1025,64,111,7,20,1483182000,4
9,10,52,2566,9,40,1025,54,109,8,20,1483182000,4
9,10,52,2567,33,27,1025,52,110,8,20,1483182000,4
46,-7,93,449,55,2,1027,249,420,2,-6,1483239600,1
51,-7,93,447,57,1,1027,330,402,2,-6,1483239600,1
53,-7,93,3303,44,3,1026,335,457,4,-6,1483243200,1
65,-7,93,446,41,1,1027,385,444,4,-6,1483239600,1
45,-7,93,448,51,1,1027,385,468,3,-6,1483239600,1
57,-7,93,452,61,2,1027,379,464,2,-6,1483239600,1
53,-7,93,451,44,3,1027,335,438,4,-6,1483239600,1
39,-7,93,469,47,1,1027,131,275,8,-6,1483239600,1
53,-7,93,450,50,1,1027,300,446,3,-6,1483239600,1
41,-7,93,463,31,1,1027,280,407,4,-6,1483239600,1
60,-7,93,457,55,2,1027,404,465,3,-6,1483239600,1
60,-7,93,462,47,2,1027,300,441,5,-6,1483239600,1
35,-7,93,466,35,1,1027,180,305,2,-6,1483239600,1
51,-7,93,477,54,5,1027,130,412,5,-6,1483239600,1
44,-7,93,474,40,1,1027,176,355,8,-6,1483239600,1
51,-7,93,479,54,1,1027,200,403,5,-6,1483239600,1
6,-7,93,478,49,2,1027,117,482,6,-6,1483239600,1
51,-7,93,476,56,1,1027,142,430,1,-6,1483239600,1
57,-7,93,467,31,1,1027,199,299,4,-6,1483239600,1
6,-7,93,480,36,2,1027,307,429,5,-6,1483239600,1
50,-7,93,460,46,3,1027,165,311,1,-6,1483239600,1
41,-7,93,461,48,1,1027,210,373,4,-6,1483239600,1
50,-7,93,454,44,3,1027,220,390,2,-6,1483239600,1
56,-7,93,456,54,1,1027,379,456,4,-6,1483239600,1
57,-7,93,464,46,3,1027,424,488,5,-6,1483239600,1
59,-7,93,458,61,2,1027,425,493,9,-6,1483239600,1
50,-7,93,459,54,2,1027,196,380,4,-6,1483239600,1
6,-7,93,455,54,3,1027,263,426,1,-6,1483239600,1
66,-7,93,453,58,2,1027,155,336,5,-6,1483239600,1
14,5,93,482,35,4,1028,54,138,9,6,1483236000,1
7,4,93,484,39,3,1027,56,137,8,5,1483239600,2
11,4,93,488,33,1,1027,33,91,12,5,1483239600,2
13,4,93,481,34,1,1027,52,134,7,5,1483239600,2
14,4,93,486,44,5,1027,44,125,8,5,1483239600,2
7,4,93,489,35,2,1027,40,119,13,5,1483239600,2
12,4,93,3304,40,3,1027,51,151,7,5,1483239600,2
10,4,93,483,43,3,1027,53,124,8,5,1483239600,2
16,4,93,485,35,1,1027,51,119,9,5,1483239600,2
8,4,93,487,37,4,1027,31,89,10,5,1483239600,2
8,4,93,490,40,4,1027,35,98,17,5,1483239600,2
9,13,82,931,13,8,1022,78,157,4,16,1483239600,2
9,13,82,916,49,3,1022,71,155,4,16,1483239600,2
8,13,82,924,17,25,1022,63,117,6,16,1483239600,2
6,14,73,3928,16,24,1022,43,97,2,19,1483239600,6
6,13,82,914,18,24,1022,47,97,6,16,1483239600,2
7,14,73,2572,22,20,1022,40,86,1,19,1483236000,6
5,14,73,2568,7,29,1022,29,84,4,19,1483239600,6
7,14,73,2570,25,9,1022,31,64,4,19,1483239600,6
5,14,73,2571,17,26,1022,28,54,1,19,1483239600,6
6,13,82,921,3,38,1022,40,91,3,16,1483239600,2
13,13,82,928,27,8,1022,61,147,4,16,1483239600,2
6,13,82,926,10,38,1022,52,112,6,16,1483239600,2
7,13,82,920,9,27,1022,58,109,3,16,1483239600,2
7,12,72,925,15,36,1023,63,99,3,17,1483225200,2
7,13,82,927,14,34,1022,55,109,3,16,1483239600,2
7,13,82,922,6,32,1022,50,107,3,16,1483239600,2
6,14,73,2569,34,6,1022,53,69,4,19,1483239600,6
8,14,73,2566,4,37,1022,37,72,5,19,1483239600,6
6,14,73,2567,10,33,1022,26,64,5,19,1483239600,6
44,-11,36,449,101,3,1026,419,466,15,3,1483196400,2
58,-11,36,447,102,3,1026,481,468,11,3,1483196400,2
23,-11,36,3303,49,5,1026,114,263,14,3,1483196400,2
