co,d,h,idx,no2,o3,p,pm10,pm25,so2,t,timestamp,w
5,14,73,2570,17,17,1022,24,54,3,19,1483243200,6
4,14,73,2571,10,30,1022,25,53,0,19,1483243200,6
6,13,82,921,3,36,1022,34,80,3,16,1483243200,3
16,13,82,928,33,3,1022,65,152,3,16,1483243200,3
5,13,82,926,10,39,1022,50,107,5,16,1483243200,3
7,13,82,920,9,26,1022,58,104,3,16,1483243200,3
7,12,72,925,15,36,1023,63,99,3,17,1483225200,2
7,13,82,927,18,29,1022,55,112,3,16,1483243200,3
7,13,82,922,9,27,1022,48,104,3,16,1483243200,3
2,14,73,2569,10,31,1022,49,63,4,19,1483243200,6
8,14,73,2566,4,37,1022,37,69,5,19,1483243200,6
6,14,73,2567,10,33,1022,23,57,5,19,1483243200,6
47,-7,93,449,51,3,1027,344,445,4,-6,1483228800,1
71,-7,93,447,47,1,1027,404,449,3,-6,1483228800,1
57,-7,93,3303,49,5,1026,419,505,6,-6,1483228800,1
68,-7,93,446,41,1,1027,496,501,5,-6,1483228800,1
52,-7,93,448,49,1,1027,438,492,5,-6,1483228800,1
59,-7,93,452,61,3,1027,393,481,3,-6,1483228800,1
53,-7,93,451,57,5,1027,419,483,8,-6,1483228800,1
30,-7,93,469,56,1,1027,131,280,8,-6,1483228800,1
55,-7,93,450,56,2,1027,389,490,4,-6,1483228800,1
37,-7,93,463,55,1,1027,140,264,7,-6,1483228800,1
60,-7,93,457,51,2,1027,475,498,4,-6,1483228800,1
73,-7,93,462,68,3,1027,495,558,8,-6,1483228800,1
32,-7,93,466,54,1,1027,233,374,3,-6,1483228800,1
57,-7,93,477,53,5,1027,130,458,15,-6,1483228800,1
48,-7,93,474,41,1,1027,180,376,8,-6,1483228800,1
52,-7,93,479,52,1,1027,275,435,8,-6,1483228800,1
51,-7,93,478,54,2,1027,117,514,8,-6,1483228800,1
56,-7,93,476,54,1,1027,142,482,3,-6,1483228800,1
57,-7,93,467,43,1,1027,178,328,5,-6,1483228800,1
63,-7,93,480,40,2,1027,363,468,6,-6,1483228800,1
46,-7,93,460,46,3,1027,174,332,1,-6,1483228800,1
57,-7,93,461,49,1,1027,233,416,5,-6,1483228800,1
48,-7,93,454,59,3,1027,226,412,2,-6,1483228800,1
56,-7,93,456,53,2,1027,379,488,5,-6,1483228800,1
57,-7,93,464,49,4,1027,500,511,7,-6,1483228800,1
56,-7,93,458,58,2,1027,406,491,8,-6,1483228800,1
44,-7,93,459,49,2,1027,187,374,4,-6,1483228800,1
52,-7,93,455,50,3,1027,363,450,4,-6,1483228800,1
56,-7,93,453,62,2,1027,155,317,5,-6,1483228800,1
9,6,87,482,41,4,1028,44,109,8,8,1483228800,2
8,6,87,484,56,4,1028,87,180,7,8,1483228800,2
9,6,87,488,36,1,1028,61,158,7,8,1483228800,2
16,6,87,481,42,2,1028,70,139,8,8,1483228800,2
7,6,87,486,42,6,1028,40,110,10,8,1483228800,2
7,6,87,489,36,2,1028,59,127,9,8,1483228800,2
9,6,87,3304,43,3,1028,46,122,7,8,1483228800,2
8,6,87,483,43,3,1028,46,122,7,8,1483228800,2
16,6,87,485,39,1,1028,44,97,7,8,1483228800,2
9,6,87,487,40,4,1028,38,91,9,8,1483228800,2
7,6,87,490,38,5,1028,28,85,10,8,1483228800,2
12,12,72,931,37,5,1023,87,167,5,17,1483225200,2
9,12,72,916,47,21,1023,71,155,5,17,1483228800,2
9,12,72,924,22,29,1023,70,119,6,17,1483225200,2
6,15,73,3928,22,25,1022,54,106,2,20,1483228800,5
6,12,72,914,26,21,1023,44,97,4,17,1483225200,2
8,15,78,2572,43,10,1022,41,87,1,19,1483225200,5
6,15,73,2568,12,27,1022,43,82,4,20,1483228800,5
5,15,73,2570,39,10,1022,42,81,4,20,1483228800,5
6,15,73,2571,25,24,1022,30,56,1,20,1483228800,5
8,12,72,921,5,37,1023,44,97,3,17,1483228800,2
10,12,72,928,14,29,1023,53,117,5,17,1483228800,2
8,12,72,926,19,27,1023,54,109,4,17,1483228800,2
8,12,72,920,17,31,1023,65,132,4,17,1483225200,2
7,12,72,925,15,36,1023,63,99,3,17,1483225200,2
8,12,72,927,23,34,1023,60,117,3,17,1483228800,2
7,12,72,922,16,24,1023,53,109,2,17,1483225200,2
8,15,73,2569,41,6,1022,58,99,5,20,1483228800,5
8,15,73,2566,6,37,1022,34,65,7,20,1483228800,5
7,15,73,2567,25,23,1022,33,72,6,20,1483228800,5
37,-8,80,449,70,2,1027,392,476,6,-5,1483218000,1
55,-8,80,447,68,1,1027,484,466,3,-5,1483218000,1
43,-5,86,3303,70,3,1027,370,488,9,-3,1483221600,1
60,-8,80,446,61,1,1027,500,482,7,-5,1483218000,1
43,-8,80,448,67,1,1027,439,478,9,-5,1483218000,1
48,-8,80,452,80,2,1027,388,456,6,-5,1483218000,1
47,-8,80,451,66,3,1027,412,463,7,-5,1483218000,1
33,-8,80,469,62,2,1027,178,282,12,-5,1483218000,1
48,-8,80,450,79,1,1027,324,440,5,-5,1483218000,1
37,-8,80,463,59,1,1027,138,276,12,-5,1483218000,1
52,-8,80,457,68,1,1027,512,506,8,-5,1483218000,1
59,-8,80,462,85,3,1027,407,454,16,-5,1483218000,1
32,-8,80,466,47,1,1027,139,248,8,-5,1483218000,1
50,-8,80,477,76,4,1027,130,492,16,-5,1483214400,1
43,-8,80,474,40,1,1027,180,356,7,-5,1483214400,1
50,-8,80,479,71,1,1027,400,485,12,-5,1483214400,1
43,-8,80,478,82,2,1027,117,468,9,-5,1483214400,1
51,-8,80,476,78,1,1027,142,487,6,-5,1483214400,1
43,-8,80,467,44,1,1027,153,266,8,-5,1483214400,1
59,-8,80,480,69,2,1027,91,453,7,-5,1483214400,1
52,-8,80,460,53,3,1027,295,406,2,-5,1483214400,1
43,-8,80,461,68,1,1027,392,490,11,-5,1483214400,1
43,-8,80,454,69,2,1027,197,391,3,-5,1483214400,1
44,-8,80,456,60,1,1027,433,492,7,-5,1483214400,1
50,-8,80,464,75,3,1027,334,440,16,-5,1483214400,1
50,-8,80,458,49,2,1027,415,490,5,-5,1483214400,1
46,-8,80,459,50,3,1027,387,492,5,-5,1483214400,1
46,-8,80,455,63,4,1027,453,497,7,-5,1483214400,1
48,-8,80,453,81,2,1027,170,313,5,-5,1483214400,1
6,6,76,482,43,5,1029,53,107,10,10,1483218000,4
8,6,82,484,73,6,1029,88,179,9,9,1483218000,2
10,6,76,488,36,3,1029,51,127,6,10,1483218000,4
9,6,82,481,39,10,1029,53,112,7,9,1483218000,2
8,6,82,486,44,12,1029,46,117,9,9,1483218000,2
6,6,82,489,36,6,1029,45,107,9,9,1483218000,2
7,6,82,3304,44,6,1028,50,99,8,9,1483221600,2
7,6,82,483,44,5,1029,50,117,8,9,1483218000,2
10,6,82,485,41,5,1029,41,95,9,9,1483218000,2
9,6,82,487,44,4,1029,52,93,9,9,1483218000,2
7,6,82,490,38,7,1029,41,89,11,9,1483218000,2
10,9,52,931,18,25,1022,72,158,5,19,1483214400,3
10,12,68,916,93,12,1022,92,168,9,18,1483218000,2
11,12,68,924,36,29,1022,75,155,7,18,1483218000,2
10,14,68,3928,68,2,1022,62,140,10,20,1483218000,5
7,9,52,914,11,39,1022,51,119,4,19,1483214400,3
11,14,68,2572,48,9,1022,51,114,2,20,1483218000,5
9,14,68,2568,40,2,1022,78,162,6,20,1483218000,5
7,14,68,2570,52,10,1022,51,105,5,20,1483218000,5
9,14,68,2571,40,18,1022,37,72,2,20,1483218000,5
10,9,52,921,18,30,1022,52,119,3,19,1483214400,3
12,9,52,928,24,30,1022,63,152,5,19,1483214400,3
9,12,68,926,15,46,1022,64,132,5,18,1483214400,2
11,9,52,920,82,14,1022,107,163,11,19,1483214400,3
9,9,52,925,28,42,1022,71,152,4,19,1483214400,3
9,12,68,927,24,46,1022,69,151,4,18,1483218000,2
7,9,52,922,21,26,1022,57,129,3,19,1483214400,3
7,14,68,2569,43,20,1022,62,109,6,20,1483218000,5
8,14,68,2566,6,41,1022,38,64,7,20,1483218000,5
8,14,68,2567,29,32,1022,54,125,7,20,1483218000,5
56,-5,80,449,89,3,1023,394,497,3,-2,1483290000,2
60,-5,80,447,89,1,1023,471,486,3,-2,1483290000,2
76,-5,80,446,85,1,1023,566,542,4,-2,1483290000,2
63,-5,80,448,97,1,1023,498,521,5,-2,1483290000,2
65,-5,80,452,103,3,1023,454,516,5,-2,1483290000,2
60,-5,80,451,76,4,1023,447,510,5,-2,1483290000,2
44,-5,80,469,80,3,1023,181,404,12,-2,1483290000,2
64,-5,80,450,97,1,1023,473,529,5,-2,1483290000,2
55,-5,80,463,87,2,1023,318,432,13,-2,1483290000,2
65,-5,80,457,99,1,1023,546,562,7,-2,1483290000,2
52,-5,80,462,65,2,1023,345,470,7,-2,1483290000,2
6,-5,80,466,77,1,1023,567,517,3,-2,1483290000,2
60,-5,80,477,95,5,1023,130,499,9,-2,1483290000,2
43,-5,80,474,46,3,1023,246,425,5,-2,1483290000,2
64,-5,80,479,87,1,1023,383,488,8,-2,1483290000,2
67,-5,80,478,101,3,1023,117,546,7,-2,1483290000,2
6,-5,80,476,95,1,1023,142,519,3,-2,1483290000,2
57,-5,80,467,69,1,1023,459,481,3,-2,1483290000,2
59,-5,80,480,67,2,1023,307,494,6,-2,1483290000,2
6,-5,86,460,67,2,1023,226,363,2,-3,1483293600,1
47,-5,86,461,69,1,1023,359,467,5,-3,1483293600,1
65,-5,86,454,86,3,1023,434,505,4,-3,1483293600,1
59,-5,86,456,82,1,1023,481,529,6,-3,1483293600,1
63,-5,86,464,94,3,1023,568,575,10,-3,1483293600,1
58,-5,80,458,77,2,1023,389,497,11,-2,1483290000,2
52,-5,86,459,71,2,1023,345,443,4,-3,1483293600,1
60,-5,86,455,88,3,1023,458,499,4,-3,1483293600,1
6,-5,86,453,101,2,1023,406,496,5,-3,1483293600,1
6,9,72,482,24,25,1022,50,74,8,14,1483290000,5
5,9,72,484,25,22,1022,35,95,8,14,1483290000,5
6,9,72,488,12,33,1022,37,65,6,14,1483290000,5
6,9,72,481,15,29,1022,50,65,5,14,1483290000,5
6,9,72,486,17,33,1022,37,76,7,14,1483290000,5
4,9,72,489,13,30,1022,38,70,8,14,1483290000,5
6,9,72,3304,25,29,1022,40,89,6,14,1483290000,5
6,9,72,483,25,19,1022,39,78,6,14,1483290000,5
7,9,72,485,19,26,1022,40,76,7,14,1483290000,5
6,9,72,487,20,28,1022,38,65,7,14,1483290000,5
6,9,72,490,13,35,1022,33,57,10,14,1483290000,5
5,15,68,916,42,21,1019,51,93,14,21,1483286400,3
8,15,68,924,12,58,1019,54,82,5,21,1483290000,3
5,15,68,3928,24,35,1019,41,85,3,21,1483290000,3
6,15,68,914,12,37,1019,45,80,7,21,1483290000,3
10,15,68,2572,52,9,1019,40,96,2,21,1483290000,3
6,15,68,2568,36,11,1019,40,88,7,21,1483290000,3
6,15,68,2570,47,12,1019,48,112,5,21,1483290000,3
7,15,68,2571,22,31,1019,30,67,2,21,1483290000,3
6,15,64,921,4,47,1020,40,87,4,22,1483279200,3
9,15,68,928,3,39,1019,38,70,4,21,1483286400,3
5,15,68,926,14,49,1019,45,93,8,21,1483286400,3
7,15,68,920,24,14,1019,50,82,8,21,1483290000,3
6,15,68,925,9,44,1019,27,61,3,21,1483286400,3
7,15,68,927,39,27,1019,51,80,7,21,1483290000,3
8,15,68,922,13,39,1019,47,93,5,21,1483290000,3
3,15,68,2569,31,20,1019,43,75,8,21,1483290000,3
8,15,68,2566,5,49,1019,40,75,6,21,1483290000,3
6,15,68,2567,54,19,1019,30,72,7,21,1483290000,3
56,-6,93,449,63,2,1027,360,454,3,-5,1483264800,1
57,-6,93,447,49,1,1027,364,409,3,-5,1483264800,1
53,-6,93,3303,44,3,1027,335,477,4,-5,1483264800,1
69,-6,93,446,58,1,1027,417,485,4,-5,1483264800,1
64,-6,93,448,65,1,1027,436,492,5,-5,1483264800,1
73,-6,93,452,82,2,1027,393,477,4,-5,1483264800,1
58,-6,93,451,55,3,1027,395,453,4,-5,1483264800,1
50,-6,93,469,57,1,1027,218,405,11,-5,1483264800,1
55,-6,93,450,64,1,1027,286,442,4,-5,1483264800,1
75,-6,93,463,62,1,1027,457,496,4,-5,1483264800,1
65,-6,93,457,57,2,1027,370,459,4,-5,1483264800,1
52,-6,93,462,49,2,1027,289,422,4,-5,1483264800,1
43,-6,93,466,44,1,1027,182,338,3,-5,1483264800,1
51,-7,93,477,54,5,1027,130,412,5,-6,1483239600,1
44,-7,93,474,40,1,1027,176,355,8,-6,1483239600,1
51,-7,93,479,54,1,1027,200,403,5,-6,1483239600,1
6,-7,93,478,49,2,1027,117,482,6,-6,1483239600,1
51,-7,93,476,56,1,1027,142,430,1,-6,1483239600,1
57,-7,93,467,31,1,1027,199,299,4,-6,1483239600,1
6,-7,93,480,36,2,1027,307,429,5,-6,1483239600,1
50,-7,93,460,46,3,1027,165,311,1,-6,1483239600,1
41,-7,93,461,48,1,1027,210,373,4,-6,1483239600,1
50,-7,93,454,44,3,1027,220,390,2,-6,1483239600,1
56,-7,93,456,54,1,1027,379,456,4,-6,1483239600,1
57,-7,93,464,46,3,1027,424,488,5,-6,1483239600,1
59,-7,93,458,61,2,1027,425,493,9,-6,1483239600,1
50,-7,93,459,54,2,1027,196,380,4,-6,1483239600,1
6,-7,93,455,54,3,1027,263,426,1,-6,1483239600,1
66,-7,93,453,58,2,1027,155,336,5,-6,1483239600,1
6,9,85,482,35,9,1027,46,114,11,12,1483264800,4
5,9,85,484,39,4,1027,51,132,9,12,1483264800,4
6,9,85,488,25,15,1027,37,104,9,12,1483264800,4
6,9,85,481,32,6,1027,41,95,10,12,1483264800,4
6,9,85,486,41,9,1027,42,109,11,12,1483264800,4
6,9,85,489,35,7,1027,49,119,11,12,1483264800,4
7,9,85,3304,40,5,1027,42,124,13,12,1483264800,4
7,9,85,483,40,5,1027,44,124,10,12,1483264800,4
8,9,85,485,31,8,1027,41,114,10,12,1483264800,4
7,9,85,487,37,6,1027,52,104,11,12,1483264800,4
7,9,85,490,37,9,1027,45,93,14,12,1483264800,4
8,14,64,931,7,30,1023,54,107,5,21,1483264800,4
8,14,64,916,29,18,1023,57,119,4,21,1483264800,4
9,13,68,924,23,20,1023,60,117,5,19,1483261200,3
5,14,64,3928,11,24,1023,25,68,1,21,1483264800,6
5,13,68,914,16,20,1023,28,76,4,19,1483261200,3
6,14,60,2572,26,12,1023,25,63,1,22,1483264800,7
5,14,64,2568,10,21,1023,28,59,5,21,1483264800,6
5,14,64,2571,21,17,1023,18,34,1,21,1483264800,6
6,14,64,921,5,31,1023,33,76,4,21,1483264800,4
12,13,68,928,24,7,1023,54,114,4,19,1483261200,3
5,13,68,926,12,30,1023,33,82,5,19,1483261200,3
8,14,64,920,20,16,1023,53,89,3,21,1483261200,4
7,13,82,925,15,36,1022,58,68,3,16,1483254000,4
6,13,68,927,22,22,1023,37,72,3,19,1483261200,3
7,14,64,922,9,29,1023,37,82,2,21,1483264800,4
1,14,64,2569,14,22,1023,24,55,4,21,1483264800,6
7,14,64,2566,5,29,1023,31,65,5,21,1483264800,6
6,14,64,2567,20,18,1023,12,29,5,21,1483264800,6
51,-7,86,449,57,2,1026,350,375,2,-5,1483329600,2
64,-7,86,447,41,1,1026,304,413,2,-5,1483329600,2
63,-7,86,3303,54,4,1026,359,462,4,-5,1483329600,2
48,-7,86,446,47,1,1026,479,254,9,-5,1483329600,2
4,-7,86,448,53,1,1026,436,279,7,-5,1483329600,2
56,-7,86,452,79,2,1026,286,390,3,-5,1483329600,2
63,-7,86,451,54,4,1026,359,418,4,-5,1483329600,2
6,-7,86,469,10,23,1026,225,61,6,-5,1483329600,2
30,-7,86,450,50,1,1026,415,261,6,-5,1483329600,2
23,-7,86,463,32,2,1026,413,171,8,-5,1483329600,2
6,-7,86,457,6,19,1026,504,53,4,-5,1483329600,2
60,-7,86,462,63,1,1026,263,432,5,-5,1483329600,2
40,-7,86,466,44,1,1026,159,319,1,-5,1483329600,2
63,-7,86,477,50,5,1026,130,423,6,-5,1483329600,2
52,-7,86,474,44,2,1026,185,362,7,-5,1483329600,2
53,-7,86,479,62,1,1026,352,350,6,-5,1483326000,2
28,-7,86,478,54,3,1026,117,209,6,-5,1483329600,2
34,-7,86,476,61,1,1026,142,274,2,-5,1483329600,2
57,-7,86,467,38,1,1026,159,280,2,-5,1483329600,2
6,-7,86,480,33,2,1026,290,439,4,-5,1483329600,2
59,-7,86,460,51,3,1026,166,330,2,-5,1483329600,2
41,-7,86,461,59,1,1026,369,385,13,-5,1483329600,2
5,-7,86,454,12,23,1026,385,38,1,-5,1483329600,2
59,-7,86,456,54,1,1026,298,430,3,-5,1483329600,2
3,-7,86,464,5,31,1026,510,46,2,-5,1483329600,2
63,-7,86,458,56,2,1026,286,440,3,-5,1483329600,2
59,-7,86,459,58,2,1026,196,364,3,-5,1483329600,2
51,-7,86,455,50,2,1026,273,360,2,-5,1483329600,2
77,-7,86,453,65,2,1026,390,486,5,-5,1483329600,2
7,9,94,482,38,4,1021,51,122,9,10,1483326000,1
5,9,94,484,30,3,1021,39,109,6,10,1483326000,1
6,9,94,488,26,5,1021,40,112,6,10,1483326000,1
8,9,94,481,24,6,1021,43,117,7,10,1483326000,1
7,9,94,486,34,7,1021,42,117,9,10,1483326000,1
6,9,94,489,30,2,1021,52,122,9,10,1483326000,1
7,9,94,3304,34,5,1021,45,104,7,10,1483329600,1
7,9,94,483,34,3,1021,45,127,7,10,1483326000,1
13,9,94,485,29,2,1021,40,102,8,10,1483326000,1
8,9,94,487,33,4,1021,46,102,8,10,1483326000,1
6,9,94,490,23,12,1021,39,93,11,10,1483326000,1
9,15,88,931,22,4,1020,69,144,4,17,1483322400,2
6,15,88,916,33,15,1020,54,109,4,17,1483322400,3
9,15,88,924,24,12,1020,55,112,4,17,1483322400,3
7,17,88,3928,36,4,1020,43,86,6,19,1483326000,4
6,15,88,914,9,14,1020,33,70,3,17,1483322400,3
8,17,88,2572,29,14,1020,38,78,1,19,1483326000,4
6,16,83,2568,17,10,1020,34,86,4,19,1483326000,3
7,17,88,2570,26,16,1020,40,88,4,19,1483326000,4
6,16,83,2571,22,29,1020,27,54,2,19,1483326000,3
6,15,88,921,5,15,1020,30,74,2,17,1483322400,3
10,15,88,928,17,12,1020,48,97,4,17,1483322400,2
5,15,88,926,19,19,1020,37,85,4,17,1483322400,3
8,15,88,920,11,18,1020,52,93,3,17,1483322400,3
6,16,83,925,13,37,1021,27,85,3,19,1483308000,2
7,15,88,927,21,19,1020,48,95,2,17,1483322400,3
7,15,88,922,9,20,1020,36,76,2,17,1483322400,2
5,17,88,2569,29,6,1020,39,68,4,19,1483326000,4
7,17,88,2566,3,18,1020,27,63,4,19,1483326000,4
7,16,83,2567,20,11,1020,17,48,5,19,1483326000,3
56,-6,64,449,87,4,1024,471,535,3,0,1483279200,1
62,-4,80,447,95,2,1023,525,514,4,-1,1483282800,2
66,-4,80,3303,80,5,1023,498,564,7,-1,1483282800,2
74,-4,80,446,87,1,1023,605,560,5,-1,1483282800,2
63,-4,80,448,91,1,1023,512,530,6,-1,1483282800,2
64,-4,80,452,102,4,1023,463,535,7,-1,1483282800,2
64,-4,80,451,79,5,1023,500,539,6,-1,1483282800,2
31,-4,80,469,67,9,1023,448,323,15,-1,1483282800,2
67,-4,80,450,101,2,1023,467,546,6,-1,1483282800,2
51,-4,80,463,75,3,1023,570,398,12,-1,1483282800,2
64,-4,80,457,99,3,1023,567,565,8,-1,1483282800,2
53,-4,80,462,75,5,1023,455,501,10,-1,1483282800,2
43,-4,80,466,72,3,1023,466,486,5,-1,1483282800,2
61,-4,80,477,94,6,1023,130,530,9,-1,1483282800,2
43,-4,80,474,42,8,1023,169,425,7,-1,1483282800,2
6,-4,80,479,93,2,1023,423,506,8,-1,1483282800,2
64,-4,80,478,100,4,1023,117,560,9,-1,1483282800,2
63,-4,80,476,99,2,1023,142,549,4,-1,1483282800,2
57,-4,80,467,62,5,1023,395,466,3,-1,1483282800,2
67,-4,80,480,77,2,1023,307,534,8,-1,1483282800,2
59,-4,80,460,73,4,1023,320,424,2,-1,1483282800,2
51,-4,80,461,73,5,1023,313,525,4,-1,1483282800,2
64,-4,80,454,88,4,1023,434,526,7,-1,1483282800,2
60,-4,80,456,87,6,1023,481,568,9,-1,1483282800,2
6,-4,80,464,87,10,1023,470,543,8,-1,1483282800,2
60,-4,80,458,78,7,1023,491,530,12,-1,1483282800,2
52,-4,80,459,69,5,1023,359,463,4,-1,1483282800,2
61,-4,80,455,89,5,1023,492,526,4,-1,1483282800,2
68,-4,80,453,102,2,1023,476,533,9,-1,1483282800,2
6,9,67,482,19,34,1022,52,72,8,15,1483282800,7
5,9,67,484,23,24,1022,43,119,10,15,1483282800,7
6,9,67,488,9,35,1022,34,68,6,15,1483282800,7
6,9,67,481,11,32,1022,41,74,6,15,1483282800,7
5,9,67,486,14,35,1022,38,76,7,15,1483282800,7
5,9,67,489,9,35,1023,38,85,7,15,1483279200,8
6,9,67,483,20,22,1022,38,78,7,15,1483282800,7
7,9,67,485,17,30,1022,40,76,7,15,1483282800,7
6,9,67,487,12,34,1022,31,65,7,15,1483282800,7
7,15,64,931,5,70,1020,51,112,5,22,1483279200,3
7,15,64,916,24,40,1020,54,104,4,22,1483279200,3
8,15,64,924,11,60,1020,55,93,6,22,1483279200,3
6,14,55,3928,20,30,1020,43,80,5,24,1483282800,3
6,15,64,914,6,44,1020,39,74,4,22,1483279200,3
10,14,57,2572,40,16,1020,41,99,2,23,1483279200,3
5,14,55,2568,7,35,1020,31,60,4,24,1483282800,3
7,14,55,2570,50,10,1020,51,113,5,24,1483282800,3
7,14,55,2571,30,26,1020,29,68,2,24,1483282800,3
9,15,64,928,2,40,1020,40,72,4,22,1483279200,3
5,15,64,926,8,50,1020,40,87,6,22,1483279200,3
6,15,64,920,5,40,1020,33,72,3,22,1483279200,3
5,13,60,925,12,31,1023,32,65,3,21,1483268400,3
6,15,64,927,7,48,1020,37,61,4,22,1483279200,3
7,15,64,922,9,46,1020,43,89,4,22,1483279200,3
2,14,55,2569,10,39,1020,32,62,4,24,1483282800,3
8,14,55,2566,5,47,1020,38,77,6,24,1483282800,3
6,14,55,2567,21,31,1020,23,65,5,24,1483282800,3
54,-7,93,449,71,3,1024,388,462,3,-6,1483304400,2
56,-7,93,447,64,1,1024,354,418,3,-6,1483304400,2
60,-6,86,3303,70,4,1024,413,500,5,-4,1483300800,1
75,-7,93,446,61,1,1024,479,488,4,-6,1483304400,2
60,-7,93,448,78,1,1024,451,490,4,-6,1483304400,2
65,-7,93,452,97,3,1024,417,487,4,-6,1483304400,2
60,-6,86,451,70,4,1024,413,469,5,-4,1483300800,1
47,-7,93,469,65,2,1024,181,389,9,-6,1483304400,2
64,-7,93,450,82,1,1024,383,473,4,-6,1483304400,2
62,-7,93,463,76,2,1024,485,516,6,-6,1483304400,2
69,-7,93,457,84,1,1024,519,522,6,-6,1483304400,2
54,-7,93,462,54,2,1024,333,416,5,-6,1483304400,2
57,-7,93,466,67,1,1024,543,485,2,-6,1483304400,2
57,-7,93,477,73,5,1024,130,453,7,-6,1483304400,2
5,-7,93,474,38,2,1024,173,327,6,-6,1483304400,2
56,-7,93,479,70,1,1024,334,454,7,-6,1483304400,2
64,-7,93,478,86,3,1024,117,514,6,-6,1483304400,2
60,-7,93,476,75,1,1024,142,462,3,-6,1483304400,2
57,-7,93,467,58,1,1024,484,478,2,-6,1483304400,2
60,-7,93,480,49,2,1024,319,437,6,-6,1483304400,2
51,-7,93,460,53,2,1024,198,328,2,-6,1483304400,2
44,-7,93,461,59,1,1024,359,430,5,-6,1483304400,2
71,-7,93,454,82,3,1024,390,485,3,-6,1483304400,2
56,-7,93,456,68,1,1024,363,452,4,-6,1483304400,2
68,-7,93,464,90,4,1024,549,551,8,-6,1483304400,2
53,-7,93,458,66,2,1024,367,453,5,-6,1483304400,2
50,-7,93,459,62,2,1024,382,413,5,-6,1483304400,2
55,-7,93,455,63,3,1024,374,440,2,-6,1483304400,2
64,-7,93,453,89,2,1024,385,495,5,-6,1483304400,2
7,9,88,482,40,15,1022,57,99,8,11,1483300800,3
5,9,88,484,41,15,1022,43,99,7,11,1483300800,3
6,9,88,488,23,20,1022,44,78,6,11,1483300800,3
6,9,88,481,21,21,1022,50,93,5,11,1483300800,3
7,9,88,486,33,21,1022,50,104,8,11,1483300800,3
6,9,88,489,28,16,1022,53,99,8,11,1483300800,3
6,9,82,3304,40,17,1023,57,107,6,12,1483300800,3
8,9,88,483,41,9,1022,57,104,6,11,1483300800,3
9,9,88,485,29,20,1022,43,78,7,11,1483300800,3
7,9,82,487,39,8,1023,51,91,7,12,1483304400,2
6,9,88,490,28,23,1022,45,74,10,11,1483300800,3
8,17,88,931,36,18,1021,66,151,6,19,1483300800,2
6,16,88,916,66,3,1021,56,114,15,18,1483300800,2
9,17,88,924,42,16,1021,58,104,7,19,1483300800,2
6,16,71,3928,37,12,1021,49,99,5,21,1483300800,2
6,17,88,914,14,35,1021,37,76,4,19,1483300800,2
10,16,71,2572,39,23,1021,40,92,2,21,1483297200,2
6,16,71,2568,34,4,1021,36,92,6,21,1483300800,2
8,16,71,2570,52,7,1021,45,93,5,21,1483300800,2
6,16,71,2571,39,20,1021,29,58,2,21,1483300800,2
6,17,88,921,6,41,1021,38,85,3,19,1483300800,2
10,17,88,928,7,35,1021,43,99,5,19,1483300800,2
5,17,88,926,10,46,1021,42,93,6,19,1483300800,2
8,16,88,920,27,1,1021,60,97,13,18,1483300800,2
6,15,68,925,9,44,1019,27,61,3,21,1483286400,3
7,17,88,927,62,8,1021,55,104,11,19,1483300800,2
8,16,88,922,6,38,1021,42,87,4,18,1483300800,2
5,16,71,2569,36,11,1021,40,80,6,21,1483300800,2
7,16,71,2566,5,45,1021,34,58,6,21,1483300800,2
6,16,71,2567,34,19,1021,28,68,6,21,1483300800,2
51,-7,93,449,55,2,1026,310,434,3,-6,1483254000,1
55,-7,93,447,46,1,1026,339,406,2,-6,1483254000,1
53,-10,41,3303,44,3,1030,335,457,4,2,1483257600,3
68,-7,93,446,45,1,1026,420,449,3,-6,1483254000,1
64,-7,93,448,53,1,1026,385,458,3,-6,1483254000,1
66,-7,93,452,60,2,1026,320,445,2,-6,1483254000,1
56,-7,93,451,45,3,1026,343,420,3,-6,1483254000,1
30,-7,93,469,44,1,1026,131,242,3,-6,1483254000,1
60,-7,93,450,49,1,1026,347,444,4,-6,1483254000,1
69,-7,93,463,55,1,1026,383,486,2,-6,1483254000,1
61,-7,93,457,56,2,1026,370,449,4,-6,1483254000,1
51,-7,93,462,50,2,1026,304,419,4,-6,1483254000,1
65,-7,93,466,53,1,1026,455,467,2,-6,1483254000,1
51,-7,93,477,54,5,1027,130,412,5,-6,1483239600,1
44,-7,93,474,40,1,1027,176,355,8,-6,1483239600,1
51,-7,93,479,54,1,1027,200,403,5,-6,1483239600,1
6,-7,93,478,49,2,1027,117,482,6,-6,1483239600,1
51,-7,93,476,56,1,1027,142,430,1,-6,1483239600,1
57,-7,93,467,31,1,1027,199,299,4,-6,1483239600,1
6,-7,93,480,36,2,1027,307,429,5,-6,1483239600,1
50,-7,93,460,46,3,1027,165,311,1,-6,1483239600,1
41,-7,93,461,48,1,1027,210,373,4,-6,1483239600,1
50,-7,93,454,44,3,1027,220,390,2,-6,1483239600,1
56,-7,93,456,54,1,1027,379,456,4,-6,1483239600,1
57,-7,93,464,46,3,1027,424,488,5,-6,1483239600,1
59,-7,93,458,61,2,1027,425,493,9,-6,1483239600,1
50,-7,93,459,54,2,1027,196,380,4,-6,1483239600,1
6,-7,93,455,54,3,1027,263,426,1,-6,1483239600,1
